OS Benchmark experiment
Test Name:,4.14.15-custo,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481328,
       cpu        average:,0.002483524,
    getpid          kbest:,0.000000220,
    getpid        average:,0.000000224,
context siwtch          kbest:,0.000002852,
context siwtch        average:,0.000002982,
      send          kbest:,0.000000732,
      send        average:,0.000001382,
      recv          kbest:,0.000000796,
      recv        average:,0.000001644,
  big send          kbest:,0.000009852,
  big send        average:,0.000018087,
  big recv          kbest:,0.000014749,
  big recv        average:,0.000026050,
      fork          kbest:,0.000114330,
      fork       average:,0.000162443,
      fork    Child kbest:,0.000157538,
      fork Child average:,0.000237680,
thr create          kbest:,0.000008701,
thr create       average:,0.000016887,
thr create    Child kbest:,0.000012258,
thr create Child average:,0.000031127,
  big fork          kbest:,0.001489213,
  big fork       average:,0.002473574,
  big fork    Child kbest:,0.001562329,
  big fork Child average:,0.002582623,
 huge fork          kbest:,0.002842497,
 huge fork       average:,0.005555022,
 huge fork    Child kbest:,0.002982687,
 huge fork Child average:,0.005679188,
small write          kbest:,0.000000821,
small write        average:,0.000000879,
small read          kbest:,0.000000415,
small read        average:,0.000000438,
small mmap          kbest:,0.000000531,
small mmap        average:,0.000000553,
small munmap          kbest:,0.000000977,
small munmap        average:,0.000001022,
small page fault          kbest:,0.000000723,
small page fault        average:,0.000000833,
 mid write          kbest:,0.000005471,
 mid write        average:,0.000005773,
  mid read          kbest:,0.000002333,
  mid read        average:,0.000002515,
  mid mmap          kbest:,0.000000518,
  mid mmap        average:,0.000000534,
mid munmap          kbest:,0.000003980,
mid munmap        average:,0.000004075,
mid page fault          kbest:,0.000001110,
mid page fault        average:,0.000001379,
 big write          kbest:,0.000583942,
 big write        average:,0.000590213,
  big read          kbest:,0.000302383,
  big read        average:,0.000304013,
  big mmap          kbest:,0.000000542,
  big mmap        average:,0.000000555,
big munmap          kbest:,0.000110535,
big munmap        average:,0.000111140,
big page fault          kbest:,0.000001661,
big page fault        average:,0.000001884,
huge write          kbest:,0.013528297,
huge write        average:,0.014084443,
 huge read          kbest:,0.019173155,
 huge read        average:,0.019518020,
 huge mmap          kbest:,0.000000521,
 huge mmap        average:,0.000000551,
huge munmap          kbest:,0.001219266,
huge munmap        average:,0.001330445,
huge page fault          kbest:,0.000001681,
huge page fault        average:,0.000001880,
    select          kbest:,0.000000970,
    select        average:,0.000001082,
      poll          kbest:,0.000000860,
      poll        average:,0.000000974,
     epoll          kbest:,0.000000863,
     epoll        average:,0.000001245,
select big          kbest:,0.000087453,
select big        average:,0.000101588,
  poll big          kbest:,0.000087575,
  poll big        average:,0.000096965,
 epoll big          kbest:,0.000087360,
 epoll big        average:,0.000095715,
