OS Benchmark experiment
Test Name:,4.14.15-custom-fa,
       ref          kbest:,0.000000021,
       ref        average:,0.000000023,
       cpu          kbest:,0.002481328,
       cpu        average:,0.002483769,
    getpid          kbest:,0.000000222,
    getpid        average:,0.000000227,
context siwtch          kbest:,0.000002844,
context siwtch        average:,0.000002974,
      send          kbest:,0.000000703,
      send        average:,0.000001351,
      recv          kbest:,0.000000665,
      recv        average:,0.000001653,
  big send          kbest:,0.000006373,
  big send        average:,0.000017910,
  big recv          kbest:,0.000019320,
  big recv        average:,0.000026086,
      fork          kbest:,0.000104676,
      fork       average:,0.000147928,
      fork    Child kbest:,0.000143140,
      fork Child average:,0.000216253,
thr create          kbest:,0.000008430,
thr create       average:,0.000016920,
thr create    Child kbest:,0.000011520,
thr create Child average:,0.000032449,
  big fork          kbest:,0.001443538,
  big fork       average:,0.002482800,
  big fork    Child kbest:,0.001515134,
  big fork Child average:,0.002585036,
 huge fork          kbest:,0.002988542,
 huge fork       average:,0.005499940,
 huge fork    Child kbest:,0.003091656,
 huge fork Child average:,0.005610835,
small write          kbest:,0.000000823,
small write        average:,0.000000871,
small read          kbest:,0.000000409,
small read        average:,0.000000437,
small mmap          kbest:,0.000000533,
small mmap        average:,0.000000546,
small munmap          kbest:,0.000001001,
small munmap        average:,0.000001040,
small page fault          kbest:,0.000000768,
small page fault        average:,0.000000925,
 mid write          kbest:,0.000005463,
 mid write        average:,0.000006052,
  mid read          kbest:,0.000002335,
  mid read        average:,0.000002488,
  mid mmap          kbest:,0.000000520,
  mid mmap        average:,0.000000531,
mid munmap          kbest:,0.000004174,
mid munmap        average:,0.000004285,
mid page fault          kbest:,0.000000781,
mid page fault        average:,0.000000887,
 big write          kbest:,0.000607602,
 big write        average:,0.000616183,
  big read          kbest:,0.000322877,
  big read        average:,0.000324361,
  big mmap          kbest:,0.000000524,
  big mmap        average:,0.000000543,
big munmap          kbest:,0.000111255,
big munmap        average:,0.000111796,
big page fault          kbest:,0.000000984,
big page fault        average:,0.000001202,
huge write          kbest:,0.013700498,
huge write        average:,0.013850714,
 huge read          kbest:,0.018958569,
 huge read        average:,0.020232996,
 huge mmap          kbest:,0.000000519,
 huge mmap        average:,0.000000536,
huge munmap          kbest:,0.001146919,
huge munmap        average:,0.001203230,
huge page fault          kbest:,0.000000950,
huge page fault        average:,0.000001179,
    select          kbest:,0.000000992,
    select        average:,0.000001223,
      poll          kbest:,0.000000891,
      poll        average:,0.000000951,
     epoll          kbest:,0.000000883,
     epoll        average:,0.000000981,
select big          kbest:,0.000093638,
select big        average:,0.000106595,
  poll big          kbest:,0.000092819,
  poll big        average:,0.000103334,
 epoll big          kbest:,0.000093675,
 epoll big        average:,0.000112279,
