OS Benchmark experiment
Test Name:,4.14.15-custom-pti,
       ref          kbest:,0.000000021,
       ref        average:,0.000000023,
       cpu          kbest:,0.002481328,
       cpu        average:,0.002483230,
    getpid          kbest:,0.000000070,
    getpid        average:,0.000000072,
context siwtch          kbest:,0.000002151,
context siwtch        average:,0.000002325,
      send          kbest:,0.000000358,
      send        average:,0.000000972,
      recv          kbest:,0.000000523,
      recv        average:,0.000001177,
  big send          kbest:,0.000009893,
  big send        average:,0.000017891,
  big recv          kbest:,0.000017706,
  big recv        average:,0.000025745,
      fork          kbest:,0.000112809,
      fork       average:,0.000163180,
      fork    Child kbest:,0.000148659,
      fork Child average:,0.000230976,
thr create          kbest:,0.000008423,
thr create       average:,0.000015829,
thr create    Child kbest:,0.000011706,
thr create Child average:,0.000028443,
  big fork          kbest:,0.001520366,
  big fork       average:,0.002533156,
  big fork    Child kbest:,0.001587119,
  big fork Child average:,0.002631981,
 huge fork          kbest:,0.002772426,
 huge fork       average:,0.005587303,
 huge fork    Child kbest:,0.002834607,
 huge fork Child average:,0.005698092,
small write          kbest:,0.000000684,
small write        average:,0.000000762,
small read          kbest:,0.000000260,
small read        average:,0.000000281,
small mmap          kbest:,0.000000374,
small mmap        average:,0.000000395,
small munmap          kbest:,0.000000702,
small munmap        average:,0.000000731,
small page fault          kbest:,0.000000532,
small page fault        average:,0.000000599,
 mid write          kbest:,0.000005364,
 mid write        average:,0.000005627,
  mid read          kbest:,0.000002197,
  mid read        average:,0.000002341,
  mid mmap          kbest:,0.000000360,
  mid mmap        average:,0.000000370,
mid munmap          kbest:,0.000002708,
mid munmap        average:,0.000002799,
mid page fault          kbest:,0.000000964,
mid page fault        average:,0.000001080,
 big write          kbest:,0.000593581,
 big write        average:,0.000596388,
  big read          kbest:,0.000310456,
  big read        average:,0.000311873,
  big mmap          kbest:,0.000000380,
  big mmap        average:,0.000000388,
big munmap          kbest:,0.000110248,
big munmap        average:,0.000110893,
big page fault          kbest:,0.000001376,
big page fault        average:,0.000001549,
huge write          kbest:,0.013531514,
huge write        average:,0.013694352,
 huge read          kbest:,0.018874661,
 huge read        average:,0.018968876,
 huge mmap          kbest:,0.000000364,
 huge mmap        average:,0.000000377,
huge munmap          kbest:,0.001139589,
huge munmap        average:,0.001163754,
huge page fault          kbest:,0.000001485,
huge page fault        average:,0.000001861,
    select          kbest:,0.000000814,
    select        average:,0.000000936,
      poll          kbest:,0.000000690,
      poll        average:,0.000000748,
     epoll          kbest:,0.000000700,
     epoll        average:,0.000000765,
select big          kbest:,0.000091224,
select big        average:,0.000104189,
  poll big          kbest:,0.000091196,
  poll big        average:,0.000105712,
 epoll big          kbest:,0.000090702,
 epoll big        average:,0.000101653,
