OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000021,
       ref        average:,0.000000024,
       cpu          kbest:,0.002481328,
       cpu        average:,0.002485011,
    getpid          kbest:,0.000000422,
    getpid        average:,0.000000430,
context siwtch          kbest:,0.000004431,
context siwtch        average:,0.000004537,
      send          kbest:,0.000000686,
      send        average:,0.000002002,
      recv          kbest:,0.000000768,
      recv        average:,0.000002129,
  big send          kbest:,0.000009057,
  big send        average:,0.000018248,
  big recv          kbest:,0.000012115,
  big recv        average:,0.000023131,
      fork          kbest:,0.000087136,
      fork       average:,0.000187837,
      fork    Child kbest:,0.000171480,
      fork Child average:,0.000288157,
thr create          kbest:,0.000012967,
thr create       average:,0.000025230,
thr create    Child kbest:,0.000017803,
thr create Child average:,0.000044389,
  big fork          kbest:,0.002328666,
  big fork       average:,0.003126645,
  big fork    Child kbest:,0.002486332,
  big fork Child average:,0.003264919,
 huge fork          kbest:,0.004113943,
 huge fork       average:,0.006802371,
 huge fork    Child kbest:,0.004204104,
 huge fork Child average:,0.006940851,
small write          kbest:,0.000001144,
small write        average:,0.000001199,
small read          kbest:,0.000000647,
small read        average:,0.000000666,
small mmap          kbest:,0.000000798,
small mmap        average:,0.000000829,
small munmap          kbest:,0.000001266,
small munmap        average:,0.000001305,
small page fault          kbest:,0.000000873,
small page fault        average:,0.000001012,
 mid write          kbest:,0.000005946,
 mid write        average:,0.000006304,
  mid read          kbest:,0.000002537,
  mid read        average:,0.000002660,
  mid mmap          kbest:,0.000000782,
  mid mmap        average:,0.000000816,
mid munmap          kbest:,0.000004282,
mid munmap        average:,0.000004443,
mid page fault          kbest:,0.000001340,
mid page fault        average:,0.000001538,
 big write          kbest:,0.000612712,
 big write        average:,0.000624653,
  big read          kbest:,0.000321561,
  big read        average:,0.000323336,
  big mmap          kbest:,0.000000787,
  big mmap        average:,0.000000816,
big munmap          kbest:,0.000102974,
big munmap        average:,0.000104866,
big page fault          kbest:,0.000001912,
big page fault        average:,0.000002544,
huge write          kbest:,0.013731269,
huge write        average:,0.014353308,
 huge read          kbest:,0.020370538,
 huge read        average:,0.020493885,
 huge mmap          kbest:,0.000000783,
 huge mmap        average:,0.000000810,
huge munmap          kbest:,0.001104305,
huge munmap        average:,0.001118389,
huge page fault          kbest:,0.000001804,
huge page fault        average:,0.000002269,
    select          kbest:,0.000001210,
    select        average:,0.000001344,
      poll          kbest:,0.000001115,
      poll        average:,0.000001218,
     epoll          kbest:,0.000001102,
     epoll        average:,0.000001221,
select big          kbest:,0.000098741,
select big        average:,0.000107241,
  poll big          kbest:,0.000098230,
  poll big        average:,0.000105817,
 epoll big          kbest:,0.000097345,
 epoll big        average:,0.000102418,
